,Survey,StartDate,EndDate,Progress,Duration,Finished,Courses,Consent1,Consent2,A1,A2,A3,A4,R1,Major,Year,Sex,VSD,NUPath,Philosophy,ID,course,course_name,crit_1,crit_2,crit_3,crit_4,crit_6,crit_7,crit_5,is_not_null
108,Pre-Module_Fl21_CS4100-2_Wong,10/29/21 13:08,10/29/21 13:09,100,92,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,5,4,2,5,5,Computer Science,4,Male,I'm not sure,PHIL 1145: Technology and Human Values,Yes,A102,cs4100,CS4100-2,True,True,True,True,True,True,True,True
111,Pre-Module_Fl21_CS4100-2_Wong,10/29/21 13:33,10/29/21 13:35,100,92,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,5,4,4,3,4,Computer Engineering,4,Male,No,"None, or I'm not sure",No,A212,cs4100,CS4100-2,True,True,True,True,True,True,True,True
112,Pre-Module_Fl21_CS4100-2_Wong,10/29/21 13:34,10/29/21 13:35,100,70,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,4,4,1,5,1,Computer Science,3,Male,Yes,PHIL 1145: Technology and Human Values,No,A356,cs4100,CS4100-2,True,True,True,True,True,True,True,True
125,Pre-Module_Fl21_CS4120_Muzny,10/7/21 17:34,10/7/21 17:36,100,120,TRUE,CS4120 Natural Language Processing (Felix Muzny),Yes,,3,5,2,5,5,Computer Science,3,Male,No,PHIL 1145: Technology and Human Values,No,A385,cs4120,CS4120-1,True,True,True,True,True,True,True,True
129,Pre-Module_Fl21_CS4120_Muzny,10/7/21 19:13,10/7/21 19:15,100,118,TRUE,CS4120 Natural Language Processing (Felix Muzny),Yes,,5,5,1,5,1,Computer Science and Linguistics,4,Female,No,PHIL 1145: Technology and Human Values,No,A357,cs4120,CS4120-1,True,True,True,True,True,True,True,True
137,Pre-Module_Fl21_CS4120_Muzny,10/7/21 21:29,10/7/21 21:32,100,150,TRUE,CS4120 Natural Language Processing (Felix Muzny),Yes,,4,5,1,5,3,Computer Science,3,Male,No,PHIL 1145: Technology and Human Values,No,A85,cs4120,CS4120-1,True,True,True,True,True,True,True,True
153,Pre-Module_Fl21_CS4120_Muzny,10/8/21 8:03,10/8/21 8:04,100,66,TRUE,CS4120 Natural Language Processing (Felix Muzny),Yes,,5,5,2,5,5,Computer Science,3,Male,Yes,PHIL 1145: Technology and Human Values,No,A206,cs4120,CS4120-1,True,True,True,True,True,True,True,True
155,Pre-Module_Fl21_CS4120_Muzny,10/8/21 8:03,10/8/21 8:05,100,132,TRUE,CS4120 Natural Language Processing (Felix Muzny),Yes,,5,5,2,5,4,Computer Science & Cognitive Psychology,3,Male,I'm not sure,"INSH 2102: Bostonography: The City through Data, Texts, Maps, and Networks",No,A339,cs4120,CS4120-1,True,True,True,True,True,True,True,True
156,Pre-Module_Fl21_CS4120_Muzny,10/8/21 8:03,10/8/21 8:05,100,125,TRUE,CS4120 Natural Language Processing (Felix Muzny),Yes,,3,5,1,5,2,Computer Science,5+,Prefer not to disclose,I'm not sure,"None, or I'm not sure",Yes,A88,cs4120,CS4120-1,True,True,True,True,True,True,True,True
158,Pre-Module_Fl21_CS4120_Muzny,10/8/21 8:03,10/8/21 8:05,100,118,TRUE,CS4120 Natural Language Processing (Felix Muzny),Yes,,3,4,1,4,2,Computer Science,5+,Male,I'm not sure,PHIL 1145: Technology and Human Values,No,A400,cs4120,CS4120-1,True,True,True,True,True,True,True,True
159,Pre-Module_Fl21_CS4120_Muzny,10/8/21 8:03,10/8/21 8:06,100,147,TRUE,CS4120 Natural Language Processing (Felix Muzny),Yes,,5,5,4,5,4,Computer Engineering/Computer Science,3,Male,No,"None, or I'm not sure",No,A315,cs4120,CS4120-1,True,True,True,True,True,True,True,True
161,Pre-Module_Fl21_CS4120_Muzny,10/8/21 8:03,10/8/21 8:06,100,162,TRUE,"CS4120 Natural Language Processing (Felix Muzny),DS 4400 Machine Learning & Data Mining (Ehsan Elhamifar)",Yes,,5,5,2,5,5,CS with Concentration in AI,4,Male,Yes,PHIL 1145: Technology and Human Values,Yes,A411,cs4120,CS4120-1,True,True,True,True,True,True,True,True
162,Pre-Module_Fl21_CS4120_Muzny,10/8/21 8:03,10/8/21 8:06,100,172,TRUE,CS4120 Natural Language Processing (Felix Muzny),Yes,,4,5,2,5,4,Computer Science ,4,Female,Yes,PHIL 1145: Technology and Human Values,No,A45,cs4120,CS4120-1,True,True,True,True,True,True,True,True
169,Pre-Module_Fl21_CS4120_Muzny,10/8/21 8:04,10/8/21 8:07,100,166,TRUE,CS4120 Natural Language Processing (Felix Muzny),Yes,,5,5,2,5,2,Artificial Intelligence,3,Male,No,"None, or I'm not sure",No,A46,cs4120,CS4120-1,True,True,True,True,True,True,True,True
170,Pre-Module_Fl21_CS4120_Muzny,10/8/21 8:03,10/8/21 8:07,100,232,TRUE,"CS4120 Natural Language Processing (Felix Muzny),DS 4400 Machine Learning & Data Mining (Ehsan Elhamifar)",Yes,,4,4,4,5,3,1,2,Male,No,PHIL 1145: Technology and Human Values,No,A426,cs4120,CS4120-1,True,True,True,True,True,True,True,True
